"","x"
"1",1.0005433451081
"2",-1.97531793672615
"3",-3.85103540355416
"4",0.506819050621106
"5",-6.15711711701387
"6",-0.294973635382393
"7",-0.120176167545949
"8",0.481311015866885
"9",0.444070785073609
"10",0
"11",0.250560440101904
"12",0.946019727553914
"13",0.835324896658589
"14",0.493691432408269
"15",0.800031443317481
"16",0.473163653945718
"17",-1.09097686713307
"18",0.523031648756843
"19",-1.68692745330275
"20",-0.318169496380955
"21",-0.29950573015747
"22",0.719885037191569
"23",-6.24975378389788
"24",-1.53097794966188
