"","V2","V3"
"C00170",0.633872917325514,"5-methylthioadenosine (MTA)"
"C03145",0,"N-formylmethionine"
"C00065",1.36742103525723,"serine"
"C00155",1.1653676777114,"homocysteine"
"C00073",0.817580588440588,"methionine"
"C02291",2.70565089112089,"cystathionine"
"C00021",2.05225268155656,"S-adenosylhomocysteine (SAH)"
"C00019",1.33677458155914,"S-adenosylmethionine (SAM)"
"C02989",0,"methionine sulfoxide"
"C00097",2.53404721731274,"cysteine"
"C00051",4.27394400371385,"glutathione, reduced (GSH)"
"C00022",0,"pyruvate"
"C00491",1.36083684396472,"cystine"
"C00049",2.22925601271037,"aspartate"
"C00041",0.936325072996155,"alanine"
