2277,-6.5279802249102401,FIGF
10894,-5.0611151802862802,LYVE1
146894,-6.8051458718707698,CD300LG
25891,-4.1222376209166498,PAMR1
286133,-6.7336147737131302,SCARA5
8436,-4.7297179028093499,SDPR
8736,-3.9650893241527201,MYOM1
153579,-4.3940113822431002,BTNL9
762,-7.7666865864160997,CA4
30819,-5.1040982784119304,KCNIP2
10349,-4.7810322706515098,ABCA10
6517,-4.4550444071993596,SLC2A4
5138,-3.4166134819414,PDE2A
3952,-7.6859079085298596,LEP
130399,-5.0099856870523602,ACVR1C
84913,-3.89997422953885,ATOH8
57569,-3.4828972089691299,ARHGAP20
364,-6.2148006120628398,AQP7
5348,-5.2288669459438601,FXYD1
4881,-3.5143587299025101,NPR1
115330,-2.75670978674935,GPR146
477,-5.5081462587438299,ATP1A2
10840,-5.6793762820253404,ALDH1L1
10350,-4.4600472626953103,ABCA9
5959,-4.2069602113803297,RDH5
64344,-5.3706784607182403,HIF3A
11096,-3.5227455927817002,ADAMTS5
57678,-3.6223301406750399,GPAM
114818,-3.1661705159126998,KLHL29
728264,-3.86478384518368,MIR143HG
338328,-4.11792130112973,GPIHBP1
126393,-4.7198354460718503,HSPB6
80760,-4.2495968304541503,ITIH5
256691,-3.9739619069277001,MAMDC2
10253,-2.9001976720482801,SPRY2
3489,-3.32072325634299,IGFBP6
27129,-4.4601162992385399,HSPB7
2920,-4.7241965512547797,CXCL2
1756,-3.79886079339287,DMD
92293,-6.0376483285971698,TMEM132C
7123,-3.6907150782484499,CLEC3B
1879,-3.0423081455414001,EBF1
388335,-2.6506181229341998,TMEM220
152831,-4.1848805312449704,KLB
10003,-3.26310325031602,NAALAD2
6263,-3.7692485407122098,RYR3
4653,-7.12728439409823,MYOC
285313,-4.03439620399985,IGSF10
9068,-3.8092596037231998,ANGPTL1
63924,-6.7462030156971,CIDEC
84417,-5.37583550188051,C2orf40
3953,-3.2061052213274301,LEPR
5950,-5.6343286018272201,RBP4
8854,-3.97886993636277,ALDH1A2
221091,-3.8475482868234199,LRRN4CL
10144,-2.5730208963830998,FAM13A
2819,-6.2597303369750898,GPD1
1036,-4.0461324952450601,CDO1
