"","V2","V3"
"C16533",0,"DOCOSADIENOATE (22:2N6)"
"C03242",0,"DIHOMO-LINOLENATE (20:3N3 OR N6)"
"C01595",0,"LINOLEATE (18:2N6)"
"C01530",-0.44523925496003,"STEARATE (18:0)"
"C00712",0,"OLEATE (18:1N9)"
"C00249",-0.536741802788838,"PALMITATE (16:0)"
"C00219",0,"ARACHIDONATE (20:4N6)"
"C06429",0,"DOCOSAHEXAENOATE (DHA; 22:6N3)"
"C16526",0,"EICOSENOATE (20:1N9 OR 11)"
"C16527",0,"ADRENATE (22:4N6)"
"C16525",2.0844716295162,"DIHOMO-LINOLEATE (20:2N6)"
"C16513",0,"DOCOSAPENTAENOATE (N3 DPA; 22:5N3)"
"C06428",2.37775760835195,"EICOSAPENTAENOATE (EPA; 20:5N3)"
"C06427",0,"LINOLENATE [ALPHA OR GAMMA; (18:3N3 OR 6)]"
